1.5f0, 4.4887853f-32
1.5008008f0, 5.2966094f-32
1.5016016f0, 6.248938f-32
1.5024024f0, 7.37146f-32
1.5032032f0, 8.694407f-32
1.504004f0, 1.0253344f-31
1.5048048f0, 1.209011f-31
1.5056056f0, 1.4253913f-31
1.5064064f0, 1.6802626f-31
1.5072072f0, 1.9804294f-31
1.508008f0, 2.3338923f-31
1.5088089f0, 2.7500554f-31
1.5096096f0, 3.2399725f-31
1.5104104f0, 3.8166336f-31
1.5112112f0, 4.495302f-31
1.512012f0, 5.2939093f-31
1.5128129f0, 6.2335215f-31
1.5136136f0, 7.3388783f-31
1.5144144f0, 8.639035f-31
1.5152152f0, 1.0168107f-30
1.516016f0, 1.1966147f-30
1.5168169f0, 1.408017f-30
1.5176176f0, 1.6565358f-30
1.5184184f0, 1.9486467f-30
1.5192192f0, 2.2919482f-30
1.52002f0, 2.6953544f-30
1.5208209f0, 3.169322f-30
1.5216216f0, 3.7261147f-30
1.5224224f0, 4.3801154f-30
1.5232233f0, 5.148187f-30
1.524024f0, 6.0500998f-30
1.5248249f0, 7.109028f-30
1.5256256f0, 8.352132f-30
1.5264264f0, 9.811242f-30
1.5272273f0, 1.1523651f-29
1.528028f0, 1.3533051f-29
1.5288289f0, 1.589062f-29
1.5296296f0, 1.8656298f-29
1.5304304f0, 2.1900278f-29
1.5312313f0, 2.5704746f-29
1.532032f0, 3.016592f-29
1.5328329f0, 3.539642f-29
1.5336336f0, 4.1528063f-29
1.5344344f0, 4.8715098f-29
1.5352353f0, 5.7138f-29
1.536036f0, 6.700792f-29
1.5368369f0, 7.8571815f-29
1.5376376f0, 9.2118535f-29
1.5384384f0, 1.0798586f-28
1.5392393f0, 1.265687f-28
1.54004f0, 1.4832877f-28
1.5408409f0, 1.7380572f-28
1.5416416f0, 2.0363028f-28
1.5424424f0, 2.385395f-28
1.5432433f0, 2.7939451f-28
1.544044f0, 3.2720134f-28
1.5448449f0, 3.831351f-28
1.5456456f0, 4.4856815f-28
1.5464464f0, 5.251031f-28
1.5472473f0, 6.1461114f-28
1.548048f0, 7.1927657f-28
1.5488489f0, 8.416491f-28
1.5496496f0, 9.847044f-28
1.5504504f0, 1.1519148f-27
1.5512513f0, 1.3473317f-27
1.552052f0, 1.5756812f-27
1.5528529f0, 1.8424761f-27
1.5536536f0, 2.1541457f-27
1.5544544f0, 2.518187f-27
1.5552553f0, 2.9433408f-27
1.556056f0, 3.439797f-27
1.5568569f0, 4.0194327f-27
1.5576576f0, 4.69609f-27
1.5584584f0, 5.4858982f-27
1.5592593f0, 6.4076502f-27
1.56006f0, 7.483237f-27
1.5608609f0, 8.738158f-27
1.5616617f0, 1.0202111f-26
1.5624624f0, 1.1909673f-26
1.5632633f0, 1.3901105f-26
1.564064f0, 1.6223274f-26
1.5648649f0, 1.8930731f-26
1.5656657f0, 2.2086959f-26
1.5664665f0, 2.5765833f-26
1.5672673f0, 3.0053296f-26
1.568068f0, 3.504933f-26
1.5688689f0, 4.0870227f-26
1.5696697f0, 4.765122f-26
1.5704705f0, 5.5549563f-26
1.5712713f0, 6.4748095f-26
1.572072f0, 7.545934f-26
1.5728729f0, 8.793032f-26
1.5736737f0, 1.02448115f-25
1.5744745f0, 1.193463f-25
1.5752753f0, 1.3901242f-25
1.576076f0, 1.6189667f-25
1.5768769f0, 1.885219f-25
1.5776777f0, 2.194954f-25
1.5784785f0, 2.5552218f-25
1.5792793f0, 2.9742087f-25
1.58008f0, 3.461417f-25
1.5808809f0, 4.027875f-25
1.5816817f0, 4.686382f-25
1.5824825f0, 5.451788f-25
1.5832833f0, 6.3413225f-25
1.584084f0, 7.3749714f-25
1.5848849f0, 8.575914f-25
1.5856857f0, 9.97103f-25
1.5864865f0, 1.159149f-24
1.5872873f0, 1.3473425f-24
1.588088f0, 1.5658722f-24
1.5888889f0, 1.8195927f-24
1.5896897f0, 2.1141295f-24
1.5904905f0, 2.4560007f-24
1.5912913f0, 2.8527579f-24
1.592092f0, 3.313148f-24
1.5928929f0, 3.847302f-24
1.5936937f0, 4.466951f-24
1.5944945f0, 5.1856785f-24
1.5952953f0, 6.019209f-24
1.596096f0, 6.985745f-24
1.5968969f0, 8.106352f-24
1.5976977f0, 9.405408f-24
1.5984985f0, 1.0911117f-23
1.5992993f0, 1.265611f-23
1.6001002f0, 1.4678125f-23
1.6009009f0, 1.7020815f-23
1.6017017f0, 1.9734652f-23
1.6025025f0, 2.2877995f-23
1.6033033f0, 2.6518307f-23
1.6041042f0, 3.0733563f-23
1.6049049f0, 3.5613886f-23
1.6057057f0, 4.1263408f-23
1.6065065f0, 4.7802447f-23
1.6073073f0, 5.536999f-23
1.6081082f0, 6.412656f-23
1.6089089f0, 7.425757f-23
1.6097097f0, 8.5977085f-23
1.6105105f0, 9.953227f-23
1.6113113f0, 1.1520844f-22
1.6121122f0, 1.333349f-22
1.6129129f0, 1.5429169f-22
1.6137137f0, 1.7851732f-22
1.6145145f0, 2.0651771f-22
1.6153153f0, 2.3887645f-22
1.6161162f0, 2.7626666f-22
1.6169169f0, 3.1946453f-22
1.6177177f0, 3.693651f-22
1.6185185f0, 4.2700023f-22
1.6193193f0, 4.935593f-22
1.6201202f0, 5.7041323f-22
1.6209209f0, 6.591417f-22
1.6217217f0, 7.6156485f-22
1.6225225f0, 8.797797f-22
1.6233233f0, 1.0162016f-21
1.6241242f0, 1.1736125f-21
1.6249249f0, 1.3552156f-21
1.6257257f0, 1.5646993f-21
1.6265265f0, 1.8063096f-21
1.6273273f0, 2.084934f-21
1.6281282f0, 2.4061971f-21
1.6289289f0, 2.776571f-21
1.6297297f0, 3.2035029f-21
1.6305305f0, 3.695559f-21
