-1.0f0, -1.6089907f-11
-0.997998f0, 0.001982741f0
-0.995996f0, 0.003928293f0
-0.993994f0, 0.005838936f0
-0.991992f0, 0.0077161705f0
-0.98999f0, 0.009562118f0
-0.987988f0, 0.011377213f0
-0.985986f0, 0.0131640155f0
-0.985986f0, 0.013165247f0
-0.983984f0, 0.014925062f0
-0.981982f0, 0.016659388f0
-0.97998f0, 0.018368555f0
-0.977978f0, 0.020053832f0
-0.975976f0, 0.021715008f0
-0.973974f0, 0.0233563f0
-0.971972f0, 0.024975058f0
-0.96997f0, 0.026573075f0
-0.96997f0, 0.02657598f0
-0.967968f0, 0.028156433f0
-0.967968f0, 0.028154923f0
-0.965966f0, 0.029715765f0
-0.963964f0, 0.031258386f0
-0.961962f0, 0.03278335f0
-0.961962f0, 0.032785613f0
-0.95996f0, 0.034294765f0
-0.957958f0, 0.03578593f0
-0.955956f0, 0.037265375f0
-0.955956f0, 0.037262473f0
-0.953954f0, 0.03872801f0
-0.953954f0, 0.038723677f0
-0.951952f0, 0.040172447f0
-0.9499499f0, 0.041601803f0
-0.9499499f0, 0.041605428f0
-0.9479479f0, 0.043024726f0
-0.9459459f0, 0.044427615f0
-0.9439439f0, 0.045819543f0
-0.9419419f0, 0.04720162f0
-0.9399399f0, 0.048565302f0
-0.9379379f0, 0.049919717f0
-0.9379379f0, 0.049925618f0
-0.9359359f0, 0.05126629f0
-0.9339339f0, 0.052598376f0
-0.9319319f0, 0.053923346f0
-0.9299299f0, 0.0552349f0
-0.9279279f0, 0.056528434f0
-0.9279279f0, 0.056536242f0
-0.9259259f0, 0.0578277f0
-0.9259259f0, 0.05782178f0
-0.9239239f0, 0.0591096f0
-0.9239239f0, 0.059101466f0
-0.9219219f0, 0.06037123f0
-0.9219219f0, 0.060377646f0
-0.9199199f0, 0.061640017f0
-0.9199199f0, 0.061634805f0
-0.9179179f0, 0.062886305f0
-0.9159159f0, 0.064134635f0
-0.9139139f0, 0.06537009f0
-0.9139139f0, 0.06536487f0
-0.9119119f0, 0.06658596f0
-0.9119119f0, 0.0665973f0
-0.9099099f0, 0.06780125f0
-0.9099099f0, 0.06781654f0
-0.9079079f0, 0.06902811f0
-0.9079079f0, 0.06901463f0
-0.9059059f0, 0.07023232f0
-0.9059059f0, 0.07021421f0
-0.9039039f0, 0.07142183f0
-0.9039039f0, 0.07141061f0
-0.9019019f0, 0.07261021f0
-0.9019019f0, 0.072594956f0
-0.8998999f0, 0.073771276f0
-0.8998999f0, 0.07378573f0
-0.8978979f0, 0.07494518f0
-0.8978979f0, 0.074955165f0
-0.8958959f0, 0.07612087f0
-0.8958959f0, 0.07611089f0
-0.8938939f0, 0.0772663f0
-0.8938939f0, 0.07727645f0
-0.8918919f0, 0.07843316f0
-0.8918919f0, 0.07841426f0
-0.8898899f0, 0.07958038f0
-0.8898899f0, 0.079554774f0
-0.8878879f0, 0.08071406f0
-0.8878879f0, 0.08069392f0
-0.8858859f0, 0.081825845f0
-0.8858859f0, 0.08183865f0
-0.8838839f0, 0.082964994f0
-0.8838839f0, 0.08295092f0
-0.8818819f0, 0.084061176f0
-0.8818819f0, 0.08408592f0
-0.8798799f0, 0.08520175f0
-0.8798799f0, 0.08517457f0
-0.8778779f0, 0.08627582f0
-0.8778779f0, 0.08630602f0
-0.8758759f0, 0.08740498f0
-0.8758759f0, 0.08738193f0
-0.8738739f0, 0.08850391f0
-0.8738739f0, 0.08847194f0
-0.8718719f0, 0.08959181f0
-0.8718719f0, 0.08956075f0
-0.8698699f0, 0.09067461f0
-0.8698699f0, 0.09064364f0
-0.8678679f0, 0.091752335f0
-0.8678679f0, 0.09172075f0
-0.8658659f0, 0.09278742f0
-0.8658659f0, 0.09282503f0
-0.8638639f0, 0.0938476f0
-0.8638639f0, 0.09389798f0
-0.8618619f0, 0.09490173f0
-0.8618619f0, 0.09496669f0
-0.8598599f0, 0.095965356f0
-0.8598599f0, 0.09601735f0
-0.8578579f0, 0.09707973f0
-0.8578579f0, 0.09701228f0
-0.8558559f0, 0.098141536f0
-0.8558559f0, 0.09804491f0
-0.8538539f0, 0.0990962f0
-0.8538539f0, 0.0991672f0
-0.8518519f0, 0.10011992f0
-0.8518519f0, 0.10021732f0
-0.8498498f0, 0.10114536f0
-0.8498498f0, 0.10125699f0
-0.8478478f0, 0.10231199f0
-0.8478478f0, 0.102153435f0
-0.8458458f0, 0.103357926f0
-0.8458458f0, 0.10315459f0
-0.8438438f0, 0.10412615f0
-0.8438438f0, 0.104415685f0
-0.8418418f0, 0.10511623f0
-0.8418418f0, 0.10545558f0
-0.8398398f0, 0.10662611f0
-0.8398398f0, 0.10597475f0
-0.8378378f0, 0.10653669f0
-0.8378378f0, 0.10806509f0
-0.8358358f0, 0.099646494f0
-0.8358358f0, 0.11667464f0
-0.8338338f0, 0.08662613f0
-0.8338338f0, 0.13006395f0
-0.8318318f0, 0.079287514f0
-0.8318318f0, 0.13783388f0
-0.8298298f0, 0.07356084f0
-0.8298298f0, 0.14400373f0
-0.8278278f0, 0.068668105f0
-0.8278278f0, 0.14933203f0
-0.8258258f0, 0.06438768f0
-0.8258258f0, 0.15406483f0
-0.8238238f0, 0.06048245f0
-0.8238238f0, 0.15841106f0
-0.8218218f0, 0.056908336f0
-0.8218218f0, 0.16243449f0
-0.8198198f0, 0.053596206f0
-0.8198198f0, 0.16620326f0
-0.8178178f0, 0.050477054f0
-0.8178178f0, 0.16977492f0
-0.8158158f0, 0.047519114f0
-0.8158158f0, 0.17318065f0
-0.8138138f0, 0.044729568f0
-0.8138138f0, 0.1764305f0
-0.8118118f0, 0.17955568f0
-0.8118118f0, 0.04205745f0
-0.8098098f0, 0.039527114f0
-0.8098098f0, 0.18256369f0
-0.8078078f0, 0.037068043f0
-0.8078078f0, 0.18548201f0
-0.8058058f0, 0.034702294f0
-0.8058058f0, 0.18831074f0
-0.8038038f0, 0.032434635f0
-0.8038038f0, 0.19105463f0
-0.8018018f0, 0.19373545f0
-0.8018018f0, 0.030205723f0
-0.7997998f0, 0.19634573f0
-0.7997998f0, 0.028066942f0
-0.7977978f0, 0.025990587f0
-0.7977978f0, 0.19889767f0
-0.7957958f0, 0.023971878f0
-0.7957958f0, 0.20139238f0
-0.7937938f0, 0.022018896f0
-0.7937938f0, 0.20383336f0
-0.7917918f0, 0.020091914f0
-0.7917918f0, 0.2062321f0
-0.7897898f0, 0.018224923f0
-0.7897898f0, 0.20858401f0
-0.7877878f0, 0.016405044f0
-0.7877878f0, 0.21089436f0
-0.7857858f0, 0.014606719f0
-0.7857858f0, 0.21316932f0
-0.7837838f0, 0.012852161f0
-0.7837838f0, 0.21540718f0
-0.7817818f0, 0.011142705f0
-0.7817818f0, 0.21761002f0
-0.7797798f0, 0.009458555f0
-0.7797798f0, 0.21978194f0
-0.7777778f0, 0.007815869f0
-0.7777778f0, 0.22192293f0
-0.7757758f0, 0.22403625f0
-0.7757758f0, 0.0061918288f0
-0.7737738f0, 0.0046125236f0
-0.7737738f0, 0.22612198f0
-0.7717718f0, 0.003045991f0
-0.7717718f0, 0.22818276f0
-0.7697698f0, 0.0015103671f0
-0.7697698f0, 0.23021905f0
-0.7677678f0, 1.7711255f-6
-0.7677678f0, 0.23223223f0
-0.7657658f0, -0.0014825881f0
-0.7657658f0, 0.23422347f0
-0.7637638f0, -0.0029407735f0
-0.7637638f0, 0.23619387f0
-0.7617618f0, -0.0043783826f0
-0.7617618f0, 0.23814431f0
-0.7597598f0, 0.2400755f0
-0.7597598f0, -0.0058009936f0
-0.7577578f0, -0.0072026392f0
-0.7577578f0, 0.24198808f0
-0.7557558f0, -0.00857342f0
-0.7557558f0, 0.24388415f0
-0.7537538f0, -0.009929647f0
-0.7537538f0, 0.24576323f0
-0.7517518f0, -0.0112758875f0
-0.7517518f0, 0.24762543f0
-0.7497497f0, -0.012587665f0
-0.7497497f0, 0.24947415f0
-0.7477477f0, -0.013904995f0
-0.7477477f0, 0.25130528f0
-0.7457457f0, -0.015183517f0
-0.7457457f0, 0.25312525f0
-0.7457457f0, -0.01519364f0
-0.7457457f0, 0.25312373f0
-0.7437437f0, -0.016470617f0
-0.7437437f0, 0.25492787f0
-0.7417417f0, -0.017718848f0
-0.7417417f0, 0.25672105f0
-0.7397397f0, -0.018967668f0
-0.7397397f0, 0.25849894f0
-0.7377377f0, -0.020172723f0
-0.7377377f0, 0.26027024f0
-0.7377377f0, -0.020199439f0
-0.7377377f0, 0.26026496f0
-0.7357357f0, -0.021401105f0
-0.7357357f0, 0.26202255f0
-0.7337337f0, -0.022597348f0
-0.7337337f0, 0.26376727f0
-0.7337337f0, -0.02260977f0
-0.7337337f0, 0.2637645f0
-0.7317317f0, -0.02379905f0
-0.7317317f0, 0.2654968f0
-0.7297297f0, -0.024962168f0
-0.7297297f0, 0.2672217f0
-0.7277277f0, -0.026120607f0
